data_vencimento,data_pagamento,valor,descricao,situacao
2024-12-21,,560.72,Parcela,CANCELADA
2025-01-01,2025-01-02,649.11,Parcela,PAGA
2024-12-11,2024-12-18,872.44,Serviço,PAGA
2025-01-14,,716.67,Pagamento,CANCELADA
2025-01-19,,265.76,Compra,PENDENTE
2024-12-15,,976.59,Parcela,CANCELADA
2025-01-01,,406.34,Mensalidade,PENDENTE
2025-01-05,,418.85,Pagamento,PENDENTE
2024-12-17,2024-12-24,498.60,Serviço,PAGA
2025-01-04,,919.63,Compra,CANCELADA
2024-12-16,2024-12-22,165.14,Pagamento,PAGA
2025-02-02,2025-02-09,841.85,Mensalidade,PAGA
2024-12-30,,114.80,Mensalidade,CANCELADA
2025-02-07,,729.47,Parcela,CANCELADA
2024-12-26,2025-01-03,568.06,Parcela,PAGA
2024-12-09,,514.15,Parcela,PENDENTE
2025-02-06,,492.43,Parcela,CANCELADA
2024-12-09,,561.82,Parcela,CANCELADA
2024-12-13,2024-12-15,751.97,Pagamento,PAGA
2025-01-24,2025-02-01,943.31,Mensalidade,PAGA
2024-12-30,2025-01-04,263.81,Serviço,PAGA
2025-01-21,,598.74,Pagamento,PENDENTE
2024-12-28,2024-12-30,762.35,Parcela,PAGA
2025-01-18,,782.06,Pagamento,PENDENTE
2025-01-04,2025-01-07,926.76,Parcela,PAGA
2025-01-18,,365.05,Parcela,CANCELADA
2025-02-06,,444.01,Mensalidade,CANCELADA
2025-01-12,,480.80,Compra,PENDENTE
2025-01-07,,353.05,Compra,PENDENTE
2024-12-26,2025-01-01,759.83,Parcela,PAGA
2025-02-02,,165.06,Pagamento,PENDENTE
2024-12-18,,294.73,Serviço,PENDENTE
2024-12-31,,300.77,Compra,CANCELADA
2025-01-07,2025-01-08,266.34,Compra,PAGA
2024-12-18,2024-12-18,754.84,Pagamento,PAGA
2025-01-10,2025-01-18,942.13,Parcela,PAGA
2025-01-05,,208.55,Parcela,PENDENTE
2025-01-25,,273.30,Parcela,PENDENTE
2024-12-22,,774.93,Compra,PENDENTE
2025-01-21,,356.38,Compra,PENDENTE
2024-12-22,2024-12-24,439.91,Mensalidade,PAGA
2025-01-17,,963.42,Mensalidade,PENDENTE
2025-01-27,,985.60,Compra,PENDENTE
2025-01-11,,125.77,Parcela,PENDENTE
2025-01-26,,760.78,Parcela,CANCELADA
2024-12-14,,224.08,Parcela,PENDENTE
2025-02-04,,622.19,Compra,CANCELADA
2025-01-01,,450.39,Pagamento,PENDENTE
2025-01-05,,767.97,Parcela,CANCELADA
2025-02-05,,250.85,Pagamento,CANCELADA
2025-01-31,,625.92,Serviço,PENDENTE
2025-01-14,,164.89,Mensalidade,CANCELADA
2024-12-28,,490.26,Serviço,CANCELADA
2025-01-18,,658.42,Parcela,CANCELADA
2025-01-02,,513.66,Compra,CANCELADA
2024-12-09,,171.52,Mensalidade,PENDENTE
2025-01-18,,221.20,Pagamento,PENDENTE
2025-01-31,2025-02-01,885.82,Mensalidade,PAGA
2025-02-02,2025-02-05,168.39,Serviço,PAGA
2025-02-07,,825.47,Mensalidade,PENDENTE
2024-12-10,2024-12-10,353.82,Serviço,PAGA
2024-12-17,,447.81,Serviço,PENDENTE
2025-01-04,,787.40,Serviço,CANCELADA
2025-01-08,,943.79,Compra,PENDENTE
2025-01-24,,229.23,Pagamento,CANCELADA
2025-01-23,2025-01-23,694.93,Parcela,PAGA
2025-01-20,2025-01-28,100.90,Compra,PAGA
2025-01-15,,116.02,Pagamento,PENDENTE
2025-01-29,,529.13,Compra,PENDENTE
2025-02-06,2025-02-06,430.42,Parcela,PAGA
2025-02-02,,983.72,Parcela,PENDENTE
2025-01-07,2025-01-14,316.74,Compra,PAGA
2025-01-11,,191.44,Parcela,PENDENTE
2024-12-10,,217.71,Pagamento,CANCELADA
2024-12-16,,826.11,Parcela,PENDENTE
2025-01-12,,521.82,Parcela,CANCELADA
2024-12-20,2024-12-20,586.98,Pagamento,PAGA
2025-02-04,2025-02-08,310.49,Parcela,PAGA
2025-01-10,2025-01-17,132.82,Parcela,PAGA
2025-01-28,,124.82,Compra,CANCELADA
2025-01-29,,200.97,Parcela,PENDENTE
2025-02-01,2025-02-09,164.08,Compra,PAGA
2025-01-21,,590.03,Pagamento,PENDENTE
2025-02-03,,992.94,Serviço,CANCELADA
2025-01-01,2025-01-07,945.89,Compra,PAGA
2025-01-03,,473.36,Serviço,CANCELADA
2024-12-23,,424.65,Parcela,CANCELADA
2024-12-15,,529.04,Pagamento,PENDENTE
2024-12-24,2024-12-31,982.97,Serviço,PAGA
2024-12-14,,325.22,Serviço,PENDENTE
2024-12-25,2024-12-28,233.05,Pagamento,PAGA
2024-12-24,,419.94,Compra,PENDENTE
2025-01-12,,591.13,Parcela,PENDENTE
2024-12-28,,850.72,Serviço,CANCELADA
2024-12-19,2024-12-21,130.16,Pagamento,PAGA
2024-12-15,,622.74,Mensalidade,CANCELADA
2025-02-02,,760.20,Parcela,CANCELADA
2025-01-14,,587.82,Compra,CANCELADA
2024-12-29,,331.23,Serviço,PENDENTE
2024-12-16,,544.86,Pagamento,PENDENTE
2025-01-31,,785.90,Serviço,PENDENTE
2024-12-11,,164.82,Parcela,PENDENTE
2024-12-12,,973.60,Serviço,PENDENTE
2024-12-11,,778.52,Parcela,PENDENTE
2025-01-31,,744.77,Mensalidade,CANCELADA
2024-12-13,,924.78,Pagamento,CANCELADA
2025-01-24,,528.60,Mensalidade,PENDENTE
2025-01-11,,577.01,Serviço,CANCELADA
2025-01-25,2025-02-03,288.40,Pagamento,PAGA
2024-12-11,,389.98,Mensalidade,PENDENTE
2024-12-22,,828.71,Pagamento,CANCELADA
2025-01-13,2025-01-20,528.61,Pagamento,PAGA
2024-12-23,2024-12-28,611.03,Compra,PAGA
2024-12-22,,681.53,Parcela,CANCELADA
2025-01-29,,419.60,Pagamento,CANCELADA
2024-12-22,,536.14,Pagamento,CANCELADA
2025-01-20,,679.67,Mensalidade,CANCELADA
2024-12-17,,837.88,Parcela,CANCELADA
2024-12-10,2024-12-10,838.88,Compra,PAGA
2025-01-27,,455.26,Pagamento,CANCELADA
2025-01-09,,677.46,Mensalidade,CANCELADA
2025-01-05,,449.29,Compra,PENDENTE
2024-12-28,,684.36,Mensalidade,PENDENTE
2025-02-01,,361.17,Parcela,PENDENTE
2025-01-09,,247.59,Mensalidade,CANCELADA
2025-01-07,,668.92,Pagamento,CANCELADA
2025-01-27,,380.65,Pagamento,CANCELADA
2025-02-07,,653.14,Serviço,CANCELADA
2025-02-04,,911.44,Mensalidade,PENDENTE
2025-01-17,,193.45,Mensalidade,PENDENTE
2025-01-02,,124.98,Compra,CANCELADA
2025-01-08,,286.17,Compra,CANCELADA
2025-01-23,,182.54,Pagamento,CANCELADA
2025-02-07,,801.68,Mensalidade,PENDENTE
2024-12-21,,723.51,Mensalidade,CANCELADA
2024-12-21,,678.87,Parcela,PENDENTE
2024-12-24,,652.77,Serviço,PENDENTE
2025-01-18,2025-01-25,218.56,Compra,PAGA
2025-01-08,,297.26,Parcela,PENDENTE
2025-01-16,,973.83,Compra,CANCELADA
2025-01-28,2025-02-03,102.96,Compra,PAGA
2025-02-06,2025-02-16,835.73,Parcela,PAGA
2025-01-07,,912.61,Mensalidade,PENDENTE
2025-01-08,2025-01-08,781.56,Compra,PAGA
2024-12-29,2024-12-31,376.15,Compra,PAGA
2024-12-31,,168.41,Pagamento,CANCELADA
2024-12-20,,384.39,Pagamento,CANCELADA
2024-12-12,2024-12-17,270.28,Pagamento,PAGA
2025-01-06,,528.62,Compra,PENDENTE
2024-12-17,,290.71,Pagamento,PENDENTE
2025-01-11,,689.03,Parcela,PENDENTE
2024-12-13,2024-12-21,515.91,Compra,PAGA
2025-01-04,,850.42,Pagamento,CANCELADA
2025-01-02,,819.60,Parcela,PENDENTE
2025-01-03,,518.42,Compra,PENDENTE
2024-12-26,,957.39,Pagamento,PENDENTE
2025-01-22,,207.70,Compra,CANCELADA
2025-02-05,,232.99,Parcela,CANCELADA
2024-12-19,,923.71,Pagamento,PENDENTE
2024-12-14,,693.11,Parcela,CANCELADA
2024-12-16,,536.47,Compra,PENDENTE
2025-01-14,,708.49,Mensalidade,PENDENTE
2025-01-27,,648.50,Parcela,PENDENTE
2024-12-27,2024-12-28,491.21,Parcela,PAGA
2024-12-11,,502.12,Mensalidade,CANCELADA
2025-01-21,2025-01-29,893.72,Parcela,PAGA
2025-01-10,,414.73,Serviço,PENDENTE
2025-01-19,,759.41,Pagamento,CANCELADA
2025-01-27,,430.08,Mensalidade,CANCELADA
2024-12-15,,986.37,Compra,CANCELADA
2024-12-20,,961.71,Serviço,CANCELADA
2024-12-11,2024-12-17,828.13,Pagamento,PAGA
2024-12-30,2024-12-30,720.45,Parcela,PAGA
2025-01-27,2025-02-01,712.50,Serviço,PAGA
2025-01-07,2025-01-14,814.00,Mensalidade,PAGA
2025-01-22,,157.87,Compra,PENDENTE
2025-01-02,2025-01-03,115.89,Pagamento,PAGA
2024-12-18,,830.20,Serviço,PENDENTE
2024-12-20,,161.22,Pagamento,PENDENTE
2025-01-08,2025-01-13,290.44,Parcela,PAGA
2024-12-20,,102.49,Serviço,CANCELADA
2025-01-21,,275.50,Pagamento,PENDENTE
2025-01-09,2025-01-15,245.30,Parcela,PAGA
2025-01-11,2025-01-14,928.82,Mensalidade,PAGA
2024-12-27,,528.83,Pagamento,CANCELADA
2025-01-23,2025-01-27,544.32,Compra,PAGA
2025-01-31,,346.24,Parcela,PENDENTE
2025-01-28,2025-02-01,279.35,Pagamento,PAGA
2025-01-08,,512.67,Parcela,CANCELADA
2024-12-31,2025-01-04,596.99,Compra,PAGA
2024-12-11,,595.49,Mensalidade,CANCELADA
2024-12-22,,794.70,Parcela,PENDENTE
2025-01-24,,600.95,Mensalidade,CANCELADA
2025-01-21,,787.44,Compra,CANCELADA
2025-01-29,,183.95,Parcela,PENDENTE
2025-01-09,,799.76,Parcela,PENDENTE
2025-01-05,2025-01-08,609.74,Pagamento,PAGA
2025-01-28,,190.96,Compra,PENDENTE
2025-01-10,,658.00,Compra,CANCELADA
2024-12-27,2025-01-01,350.80,Serviço,PAGA
2025-01-10,,548.06,Pagamento,PENDENTE
2024-12-26,2025-01-03,745.52,Compra,PAGA
2025-01-28,2025-01-30,929.06,Compra,PAGA
2025-01-26,,158.78,Serviço,PENDENTE
2025-02-05,,621.44,Serviço,PENDENTE
2025-02-05,,758.62,Serviço,CANCELADA
2025-02-05,,947.42,Compra,PENDENTE
2025-02-07,,197.06,Compra,PENDENTE
2025-01-10,,605.69,Mensalidade,CANCELADA
2025-01-27,2025-02-02,803.07,Serviço,PAGA
2024-12-09,2024-12-14,405.10,Pagamento,PAGA
2025-02-07,,602.59,Pagamento,PENDENTE
2025-02-04,,103.87,Pagamento,CANCELADA
2025-01-30,2025-02-01,937.52,Mensalidade,PAGA
2025-01-19,2025-01-20,125.67,Mensalidade,PAGA
2025-01-18,,289.89,Parcela,PENDENTE
2025-01-19,,938.29,Mensalidade,PENDENTE
2024-12-14,2024-12-23,144.95,Serviço,PAGA
2025-01-27,2025-01-30,717.55,Mensalidade,PAGA
2024-12-31,,177.93,Mensalidade,CANCELADA
2024-12-09,,612.52,Mensalidade,CANCELADA
2025-01-19,2025-01-19,116.79,Compra,PAGA
2025-01-10,,554.06,Pagamento,CANCELADA
2024-12-25,,426.14,Serviço,CANCELADA
2024-12-16,,158.32,Serviço,CANCELADA
2025-01-18,2025-01-25,710.37,Serviço,PAGA
2024-12-30,,338.64,Serviço,CANCELADA
2025-01-12,,133.63,Serviço,PENDENTE
2024-12-13,,127.28,Serviço,PENDENTE
2024-12-17,,497.84,Serviço,PENDENTE
2024-12-19,,921.17,Serviço,CANCELADA
2025-01-03,2025-01-12,903.75,Mensalidade,PAGA
2024-12-15,,670.24,Compra,CANCELADA
2024-12-30,2025-01-02,872.58,Compra,PAGA
2024-12-12,2024-12-20,470.12,Mensalidade,PAGA
2025-01-26,,887.40,Pagamento,PENDENTE
2025-01-02,,644.20,Pagamento,PENDENTE
2025-01-21,,647.54,Mensalidade,CANCELADA
2024-12-31,,434.77,Serviço,PENDENTE
2025-01-18,2025-01-24,531.79,Compra,PAGA
2024-12-18,,818.66,Parcela,PENDENTE
2025-01-24,,987.14,Compra,PENDENTE
2025-01-05,,385.11,Pagamento,CANCELADA
2025-01-16,,827.54,Mensalidade,CANCELADA
2025-01-19,,848.54,Parcela,PENDENTE
2025-01-22,,398.08,Mensalidade,PENDENTE
2024-12-28,,289.66,Serviço,PENDENTE
2024-12-19,,179.32,Compra,PENDENTE
2025-02-06,,363.93,Mensalidade,PENDENTE
2025-01-08,,465.11,Parcela,CANCELADA
2025-01-03,,690.77,Serviço,CANCELADA
2025-01-26,,191.45,Parcela,PENDENTE
2025-01-28,,585.58,Compra,CANCELADA
2024-12-11,,840.57,Compra,PENDENTE
2025-01-12,2025-01-12,658.88,Serviço,PAGA
2025-02-04,,895.23,Mensalidade,CANCELADA
2025-01-05,,761.02,Serviço,CANCELADA
2024-12-30,,781.80,Parcela,PENDENTE
2024-12-12,,613.01,Compra,CANCELADA
2025-02-05,2025-02-08,488.74,Serviço,PAGA
2024-12-28,,489.12,Pagamento,CANCELADA
2025-01-04,,707.03,Pagamento,PENDENTE
2025-01-22,2025-01-29,971.23,Pagamento,PAGA
2025-01-08,2025-01-16,960.65,Compra,PAGA
2025-01-22,,507.01,Serviço,PENDENTE
2025-01-11,,310.14,Parcela,CANCELADA
2024-12-18,,795.54,Serviço,CANCELADA
2025-01-05,,250.37,Compra,CANCELADA
2024-12-10,,450.39,Parcela,CANCELADA
2024-12-28,2025-01-04,898.66,Mensalidade,PAGA
2025-01-27,2025-01-31,602.62,Compra,PAGA
2024-12-15,2024-12-16,829.82,Mensalidade,PAGA
2024-12-11,,690.00,Parcela,PENDENTE
2024-12-25,,162.22,Parcela,CANCELADA
2025-01-12,,319.57,Parcela,CANCELADA
2025-01-31,,216.02,Parcela,PENDENTE
2025-01-28,,808.12,Pagamento,PENDENTE
2025-01-25,,161.90,Compra,CANCELADA
2024-12-29,,342.38,Compra,CANCELADA
2025-01-10,2025-01-17,299.58,Pagamento,PAGA
2025-01-22,,400.01,Parcela,PENDENTE
2024-12-11,,632.01,Compra,PENDENTE
2025-01-22,2025-01-29,686.59,Compra,PAGA
2024-12-25,2025-01-03,699.35,Compra,PAGA
2025-01-09,,809.64,Pagamento,PENDENTE
2025-01-02,,535.21,Compra,CANCELADA
2025-01-16,,101.20,Compra,PENDENTE
2024-12-25,,986.05,Pagamento,CANCELADA
2025-01-06,,902.82,Parcela,CANCELADA
2024-12-16,,470.66,Mensalidade,CANCELADA
2025-01-27,2025-02-02,204.82,Compra,PAGA
2025-01-09,,822.99,Compra,PENDENTE
2025-01-17,,417.51,Pagamento,CANCELADA
2025-01-02,2025-01-06,640.97,Pagamento,PAGA
2024-12-19,,170.42,Serviço,PENDENTE
2024-12-15,,856.40,Mensalidade,PENDENTE
2025-01-20,2025-01-26,506.46,Parcela,PAGA
2025-01-01,,788.78,Compra,PENDENTE
2024-12-21,2024-12-24,662.64,Parcela,PAGA
2024-12-31,,664.76,Serviço,PENDENTE
2025-01-15,,243.68,Mensalidade,CANCELADA
2024-12-31,2025-01-09,929.42,Serviço,PAGA
2025-01-28,,212.01,Parcela,PENDENTE
2024-12-27,,707.12,Compra,CANCELADA
2025-01-18,,734.18,Mensalidade,CANCELADA
2024-12-10,,974.33,Mensalidade,CANCELADA
2025-01-09,,460.79,Parcela,PENDENTE
2025-02-07,,455.36,Compra,CANCELADA
2025-02-03,,475.99,Parcela,CANCELADA
2024-12-22,,620.23,Pagamento,CANCELADA
2025-01-17,2025-01-21,888.36,Compra,PAGA
2024-12-27,,145.83,Parcela,CANCELADA
2024-12-17,,259.39,Compra,CANCELADA
2025-01-06,,488.84,Serviço,CANCELADA
2025-01-20,,608.26,Mensalidade,PENDENTE
2025-01-15,2025-01-15,429.53,Mensalidade,PAGA
2024-12-25,,633.28,Serviço,PENDENTE
2024-12-19,,663.01,Mensalidade,PENDENTE
2024-12-29,2024-12-30,437.55,Pagamento,PAGA
2024-12-19,,452.08,Serviço,CANCELADA
2025-01-02,2025-01-06,575.67,Serviço,PAGA
2024-12-22,,698.83,Parcela,CANCELADA
2025-02-02,,830.86,Serviço,PENDENTE
2024-12-13,,496.30,Compra,CANCELADA
2024-12-18,,973.42,Mensalidade,PENDENTE
2024-12-20,,564.96,Mensalidade,PENDENTE
2024-12-11,2024-12-16,266.12,Serviço,PAGA
2024-12-27,2025-01-02,927.38,Pagamento,PAGA
2024-12-10,,267.02,Mensalidade,PENDENTE
2024-12-15,,716.61,Parcela,CANCELADA
2025-01-25,2025-01-25,586.90,Parcela,PAGA
2025-01-21,,619.48,Serviço,CANCELADA
2025-01-04,,621.23,Serviço,PENDENTE
2024-12-26,,842.95,Serviço,CANCELADA
2024-12-31,2025-01-06,705.93,Compra,PAGA
2025-02-03,,409.01,Pagamento,PENDENTE
2025-01-11,,296.06,Compra,CANCELADA
2025-01-31,2025-02-04,682.28,Parcela,PAGA
2025-01-18,,275.96,Parcela,CANCELADA
2025-01-31,2025-02-09,176.70,Compra,PAGA
2024-12-24,,209.61,Pagamento,PENDENTE
2025-01-30,2025-01-30,618.60,Parcela,PAGA
2024-12-09,,684.99,Serviço,PENDENTE
2024-12-30,2024-12-31,917.45,Serviço,PAGA
2025-01-15,,241.91,Parcela,PENDENTE
2024-12-15,2024-12-25,585.18,Parcela,PAGA
2025-01-21,,405.00,Mensalidade,CANCELADA
2024-12-24,,586.69,Compra,PENDENTE
2025-01-20,,228.93,Parcela,CANCELADA
2025-01-08,,150.15,Pagamento,CANCELADA
2025-02-01,,326.99,Pagamento,CANCELADA
2024-12-13,2024-12-17,178.25,Compra,PAGA
2025-01-30,,389.60,Mensalidade,PENDENTE
2025-01-17,,190.36,Compra,CANCELADA
2025-01-23,2025-01-28,822.67,Compra,PAGA
2024-12-11,2024-12-15,743.90,Compra,PAGA
2025-01-12,,976.12,Mensalidade,PENDENTE
2024-12-30,2025-01-07,158.88,Serviço,PAGA
2025-01-04,2025-01-06,783.24,Serviço,PAGA
2024-12-13,2024-12-19,476.39,Serviço,PAGA
2025-01-27,2025-02-02,682.65,Mensalidade,PAGA
2025-01-23,,239.22,Parcela,PENDENTE
2025-01-04,2025-01-09,339.39,Serviço,PAGA
2024-12-14,2024-12-14,826.71,Pagamento,PAGA
2025-01-09,,758.10,Pagamento,CANCELADA
2024-12-23,,306.51,Mensalidade,PENDENTE
2025-02-04,2025-02-11,997.43,Mensalidade,PAGA
2024-12-23,2024-12-27,770.49,Pagamento,PAGA
2025-02-05,2025-02-11,830.07,Parcela,PAGA
2024-12-10,2024-12-17,527.25,Mensalidade,PAGA
2024-12-29,2025-01-07,263.37,Parcela,PAGA
2025-01-05,2025-01-11,280.22,Serviço,PAGA
2025-01-08,,378.44,Parcela,PENDENTE
2024-12-30,,146.21,Parcela,CANCELADA
2025-02-02,,331.19,Mensalidade,CANCELADA
2025-01-02,,934.13,Compra,CANCELADA
2024-12-28,,991.46,Serviço,CANCELADA
2025-01-22,,142.07,Pagamento,PENDENTE
2024-12-24,,387.42,Pagamento,PENDENTE
2024-12-16,,891.41,Mensalidade,CANCELADA
2025-01-22,,197.17,Mensalidade,PENDENTE
2025-01-21,2025-01-29,837.80,Pagamento,PAGA
2025-01-12,2025-01-22,485.53,Compra,PAGA
2024-12-27,,668.82,Serviço,PENDENTE
2025-02-05,2025-02-14,906.32,Parcela,PAGA
2024-12-26,,667.81,Pagamento,CANCELADA
2024-12-12,,200.83,Pagamento,PENDENTE
2024-12-14,2024-12-23,873.21,Compra,PAGA
2025-01-01,,856.95,Parcela,PENDENTE
2025-01-12,2025-01-15,431.57,Parcela,PAGA
2025-01-03,,743.42,Compra,CANCELADA
2025-01-23,2025-02-02,527.30,Compra,PAGA
2024-12-11,,773.46,Compra,CANCELADA
2025-01-07,2025-01-16,801.30,Mensalidade,PAGA
2024-12-29,,103.35,Parcela,CANCELADA
2025-01-03,2025-01-04,854.81,Compra,PAGA
2024-12-24,,680.84,Serviço,CANCELADA
2025-01-16,,422.63,Mensalidade,CANCELADA
2025-02-06,,584.84,Parcela,PENDENTE
2024-12-28,,388.80,Compra,PENDENTE
2025-01-11,,731.94,Mensalidade,CANCELADA
2024-12-21,2024-12-23,135.28,Serviço,PAGA
2025-01-14,2025-01-14,365.04,Pagamento,PAGA
2024-12-11,,572.69,Serviço,CANCELADA
2025-01-21,2025-01-25,203.39,Pagamento,PAGA
2024-12-30,2025-01-04,366.86,Compra,PAGA
2025-01-10,,939.69,Pagamento,PENDENTE
2024-12-29,,253.04,Compra,PENDENTE
2024-12-11,2024-12-17,481.34,Parcela,PAGA
2024-12-17,2024-12-24,505.74,Pagamento,PAGA
2025-01-26,,208.52,Pagamento,CANCELADA
2025-01-09,,233.90,Mensalidade,PENDENTE
2025-01-11,,520.06,Serviço,PENDENTE
2025-01-29,,468.61,Compra,CANCELADA
2025-02-02,,104.06,Parcela,PENDENTE
2025-01-04,,238.48,Pagamento,CANCELADA
2024-12-11,,491.65,Compra,CANCELADA
2024-12-09,,166.93,Pagamento,CANCELADA
2024-12-23,,460.08,Parcela,CANCELADA
2025-01-14,,464.75,Compra,CANCELADA
2024-12-18,,228.08,Mensalidade,PENDENTE
2025-02-06,,885.31,Pagamento,PENDENTE
2024-12-23,,913.64,Serviço,CANCELADA
2024-12-09,2024-12-12,118.24,Serviço,PAGA
2024-12-30,2025-01-01,758.91,Parcela,PAGA
2025-01-22,,598.11,Compra,PENDENTE
2024-12-25,,389.31,Parcela,PENDENTE
2025-01-25,,758.13,Mensalidade,PENDENTE
2025-01-25,,977.38,Pagamento,PENDENTE
2024-12-16,2024-12-18,948.19,Mensalidade,PAGA
2024-12-15,,508.84,Serviço,PENDENTE
2025-02-07,,208.51,Serviço,PENDENTE
2025-01-25,2025-01-30,697.60,Parcela,PAGA
2025-02-05,,939.84,Mensalidade,PENDENTE
2025-01-04,,642.16,Serviço,CANCELADA
2024-12-09,,510.55,Parcela,PENDENTE
2025-01-15,2025-01-25,535.49,Compra,PAGA
2025-01-22,,419.44,Mensalidade,CANCELADA
2025-02-04,,676.79,Parcela,CANCELADA
2025-01-19,,270.25,Mensalidade,PENDENTE
2025-01-24,,112.05,Pagamento,PENDENTE
2024-12-13,2024-12-18,294.53,Serviço,PAGA
2025-01-07,2025-01-17,720.32,Parcela,PAGA
2025-02-04,2025-02-10,494.00,Pagamento,PAGA
2024-12-09,,251.02,Pagamento,PENDENTE
2025-01-15,,962.12,Pagamento,PENDENTE
2025-01-03,2025-01-07,334.47,Mensalidade,PAGA
2024-12-22,,643.02,Parcela,CANCELADA
2025-01-21,2025-01-23,554.58,Pagamento,PAGA
2024-12-20,,118.98,Compra,CANCELADA
2025-01-02,,877.61,Parcela,CANCELADA
2025-01-20,2025-01-28,660.48,Serviço,PAGA
2025-01-28,2025-01-28,396.56,Mensalidade,PAGA
2025-02-01,,310.63,Serviço,PENDENTE
2024-12-10,,427.33,Parcela,PENDENTE
2024-12-24,2024-12-28,145.96,Serviço,PAGA
2025-01-21,,892.83,Pagamento,PENDENTE
2024-12-24,,764.54,Serviço,PENDENTE
2024-12-18,,253.45,Compra,CANCELADA
2025-01-11,,184.13,Parcela,CANCELADA
2025-01-07,,819.99,Mensalidade,PENDENTE
2025-02-07,,526.55,Pagamento,PENDENTE
2025-02-04,,287.89,Parcela,PENDENTE
2024-12-16,2024-12-17,731.17,Serviço,PAGA
2024-12-17,2024-12-23,475.74,Parcela,PAGA
2025-01-20,,642.52,Compra,CANCELADA
2024-12-10,,914.19,Pagamento,CANCELADA
2025-01-06,,231.30,Compra,CANCELADA
2024-12-23,2024-12-28,300.45,Pagamento,PAGA
2025-01-14,,600.27,Serviço,CANCELADA
2025-01-10,2025-01-20,463.53,Parcela,PAGA
2024-12-26,,877.33,Parcela,PENDENTE
2024-12-30,2025-01-09,719.55,Parcela,PAGA
2025-01-02,,494.10,Pagamento,PENDENTE
2024-12-15,,205.03,Serviço,CANCELADA
2025-01-27,,125.39,Parcela,PENDENTE
2024-12-23,,146.76,Mensalidade,PENDENTE
2024-12-10,2024-12-19,765.64,Parcela,PAGA
2024-12-24,,679.18,Pagamento,PENDENTE
2025-02-06,,786.32,Compra,CANCELADA
2025-01-19,2025-01-23,178.91,Serviço,PAGA
2025-01-26,,270.41,Compra,CANCELADA
2025-02-02,2025-02-09,116.98,Pagamento,PAGA
2025-02-06,2025-02-15,689.20,Serviço,PAGA
2024-12-14,2024-12-22,466.14,Mensalidade,PAGA
2024-12-16,2024-12-18,428.18,Serviço,PAGA
2025-01-03,,560.16,Mensalidade,CANCELADA
2025-01-07,2025-01-11,340.23,Mensalidade,PAGA
2025-01-11,2025-01-17,757.19,Serviço,PAGA
2024-12-30,,288.12,Serviço,PENDENTE
2024-12-31,,286.24,Compra,PENDENTE
2025-01-09,,608.35,Compra,PENDENTE
